08月28日 20:40	YANZiKAii	妈的怎么全是昆山海龙哥？佛了 ​
09月02日 18:47	高密普法	#有点暖# 【“骑车男”已出院 就职酒店：出事期间照发工资】#追砍电动车主遭反杀#案的电动车主于海明目前已经出院。事发前，他在昆城一品酒店工作。酒店方称，并未收到于海明辞职消息，他的职位也还保留着。对于有知情人士称“酒店老板曾放话于海明判几年，工资照发几年”的说法，该经理也给予 ​ 展开全文c
09月02日 18:47	queeylee	警方通报“昆山砍人案”：于海明的行为属于正当防卫 O网页链接 ​
09月02日 18:46	博山法院崮山法庭	#法庭说法##追砍电动车主遭反杀#【昆山警方认定于海明属于正当防卫，关键证人讲述案发全过程】央视#今日说法#记者分别采访了与刘海龙同车的刘强强和与于海明同伴的小柯（化名），双方讲述了案发全过程。LCCTV今日说法的秒拍视频 ​​​
09月02日 18:46	沈阳晚报	#昆山事件属正当防卫#【于海明亲哥：母亲知道消息后高兴得像换了个人，全村人都盼着他回来】陕西宁强县，于海明的亲哥于海军知道弟弟被判定为正当防卫的消息，他说全家人现在特别高兴，母亲之前整天哭，现在高兴得跟换了个人一样。他给弟弟打电话没打通，特别希望能见他一面，全村人都在盼他回来 ​ 展开全文c
09月02日 18:45	NoSIRIUS	希望你家孩子像昆山龙哥一样阳刚。日常拉黑 ​
09月02日 18:45	A股龙少2018	昆山龙哥案在舆论媒体的喧嚣中让正当防卫从理论上升为实质性的法律实战 中国的传统教育里就暗含着弱势顺从的基因，从小学读书老师就教育我们小手靠背，家庭教育里要听长辈的话，走上社会要听从dang的指挥和号召，很大程度上抑制了人本身的自由主义思想的开化。社会道德上出现老人摔倒不敢轻易去扶， ​ 展开全文c
09月02日 18:43	仁武馆_Royking	【权威解释“正当防卫”、“特殊防卫”和“防卫过当” 一听就明白】1日，警方通报“昆山砍人案”中于海明行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？@央视新闻 #昆山事件属正当防卫# ​ 展开全文c
09月02日 18:43	全球趣闻中心	#昆山事件属正当防卫#【于海明亲哥：母亲知道消息后高兴得像换了个人，全村人都盼着他回来】陕西宁强县，于海明的亲哥于海军知道弟弟被判定为正当防卫的消息，他说全家人现在特别高兴，母亲之前整天哭，现在高兴得跟换了个人一样。他给弟弟打电话没打通，特别希望能见他一面，全村人都在盼他回来 ​ 展开全文c
09月02日 18:42	贵溪发布	【转发分享！关于“正当防卫”、“特殊防卫”和“防卫过当” 这段视频全说明白了！】昨日，警方通报“昆山砍人案”中于海明的行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？看视频↓↓↓ ​ 展开全文c
09月02日 18:42	稚于最初的h	#昆山事件属正当防卫#【于海明亲哥：母亲知道消息后高兴得像换了个人，全村人都盼着他回来】陕西宁强县，于海明的亲哥于海军知道弟弟被判定为正当防卫的消息，他说全家人现在特别高兴，母亲之前整天哭，现在高兴得跟换了个人一样。他给弟弟打电话没打通，特别希望能见他一面，全村人都在盼他回来 ​ 展开全文c
09月02日 18:42	遂昌快活林	人民日报官方微博9月1日消息，昆山砍人案，于海明属于正当防卫，不负刑事责任，大快人心，奔走相告！法律不能苛求每个防卫者都是黄飞鸿，对穷凶极恶者“点到为止”。优先保护防卫者，是正当防卫制度的价值所在。此案的处理，必将对后续同类案件起到积极引领作用。公平正义写在法条之中，更应由每一个 ​ 展开全文c
09月02日 18:41	阿神6888	[“白衣反杀哥”于海明已出院 就职酒店：出事期间照发工资]9月1日，昆山警方与检方相继发布通告，以“白衣夺刀哥”于海明的行为属于正当防卫、不负刑责为由，作出撤销案件决定。于海明目前 "反杀哥"已出院 其老板曾放话"判几年工资照发几年"#UC头条# O网页链接 ​
09月02日 18:41	lw6358	发表了一篇转载博文《[转载]如何让昆山龙哥死的有价值？》O[转载]如何让昆山龙哥死的有价值？ ​
09月02日 18:41	lw6358	发表了一篇转载博文《[转载]如何让昆山龙哥死的有价值？》O[转载]如何让昆山龙哥死的有价值？ ​
09月02日 18:41	一人主	发表了一篇转载博文《[转载]昆山小政府，龙哥大社会》O[转载]昆山小政府，龙哥大社会 ​
09月02日 18:40	差的远的李之泽的今天明天与后天	#昆山事件属正当防卫#龙哥的死，是社会底层坏人欺负社会底层好人的经典案例。算是好人取胜。但是不禁想，但凡龙哥有点关系，恐怕结果就会不一样。 ​
09月02日 18:40	海口日报	【转发分享！关于“正当防卫”、“特殊防卫”和“防卫过当” 这段视频全说明白了！】昨日，警方通报“昆山砍人案”中于海明的行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？看视频↓↓↓ ​ 展开全文c
09月02日 18:39	胡海_huhai	“昆山反杀案”于海明属正当防卫 O“昆山反杀案”于海明属正当防卫-新华网 ​
09月02日 18:38	mdkongke	发表了博文《罪与非罪，谁来确定？》昆山警方宣布震川路杀人案于海明属正当防卫无罪。这结果可以说是民心所向了。但是，安安有权定是否有罪吗？出了刑事案件，特别是杀人案，公安的职责是负责侦破案件，找出案件的主O罪与非罪，谁来确定？ ​
09月02日 18:35	河南反邪教	【骑车男哥哥受资助30万？当事人：没这回事】日前，网友“李嘉臣”称，昆山砍人案骑车者于海明家庭困难，已向其哥哥于林（化名）资助30万供孩子看病，还晒出了转账电子回执显示。但于林向记者表示，这几天曾有人提出要资助，但他都没答应。他说从未接受别人的资助。#骑车男哥哥未受资助30万#（@新京报 ​ 展开全文c
09月02日 18:34	张丙帅律师V	【关于“正当防卫”、“特殊防卫”和“防卫过当” 这段视频全说明白了！】昨日，警方通报“昆山砍人案”中于海明的行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？看视频↓↓↓ ​ 展开全文c
09月02日 18:34	良月土申	[“白衣反杀哥”于海明已出院 就职酒店：出事期间照发工资]9月1日，昆山警方与检方相继发布通告，以“白衣夺刀哥”于海明的行为属于正当防卫、不负刑责为由，作出撤销案件决定。于海明目前 "反杀哥"已出院 其老板曾放话"判几年工资照发几年"#UC头条# O网页链接 ​
09月02日 18:34	小嘴巴说爱你	【昆山“正当防卫案”确立法治中国新典范】江苏“昆山砍人案”终于尘埃落定，“反杀”刘海龙的于海明被司法机关认定为正当防卫，不负刑事责任。民之所盼，法之所向。在维护和保障公平正义面前，司法没有缺席。昆山市公安局、昆山市人民检察院所列举的一条条“正当防卫”理由，是一如既往的客观、中立、 ​ 展开全文c
09月02日 18:31	临沂热点事	#追砍电动车主遭反杀#【骑车男哥哥受资助30万？当事人：没这回事】日前，网友“李嘉臣”称，昆山砍人案骑车者于海明家庭困难，已向其哥哥于林（化名）资助30万供孩子看病，还晒出了转账电子回执显示。但于林向记者表示，这几天曾有人提出要资助，但他都没答应。他说从未接受别人的资助。（新京报） ​ 展开全文c
09月02日 18:31	正东先森	第1470正当防卫：昆山龙哥被反杀，于属正当防卫。 ​
09月02日 18:30	常熟谢桥派出所	#以案析法##追砍电动车主遭反杀#【昆山警方认定于海明属于正当防卫，关键证人讲述案发全过程】央视#今日说法#记者分别采访了与刘海龙同车的刘强强和与于海明同伴的小柯（化名），双方讲述了案发全过程。LCCTV今日说法的秒拍视频 ​
09月02日 18:30	吉安微警事儿	【转发分享！关于“正当防卫”、“特殊防卫”和“防卫过当” 这段视频全说明白了！】昨日，警方通报“昆山砍人案”中于海明的行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？看视频↓↓↓ ​ 展开全文c
09月02日 18:30	新浪河南	【转发分享！关于“正当防卫”、“特殊防卫”和“防卫过当” 这段视频全说明白了！】昨日，警方通报“昆山砍人案”中于海明的行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？看视频↓↓↓ ​ 展开全文c
09月02日 18:30	法制晚报	【酒店人事称于海明还没回来，老板曾说判几年发他几年工资 】9月1日，警方通报江苏昆山宝马司机持刀追砍骑车男子案件，为正当防卫。于海明工作酒店的人事经理说，他一人负责前期开业工程筹备，还未判决时老板曾说，判几年就发几年工资。目前，于海明未联系酒店，酒店未解雇他L一手video的秒拍视频 ​
09月02日 18:29	湖北公安	【转发分享！关于“正当防卫”、“特殊防卫”和“防卫过当” 这段视频全说明白了！】昨日，警方通报“昆山砍人案”中于海明的行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？看视频↓↓↓ ​ 展开全文c
09月02日 18:29	帅哥股票之圣	大快人心！昆山“宝马男砍人反被杀”案，于海明属正当防卫 O大快人心！昆山“宝马男砍人反被杀”案，于海明属正当防卫 ​
09月02日 18:29	中国日报	【转发分享！关于“正当防卫”、“特殊防卫”和“防卫过当” 这段视频全说明白了！】昨日，警方通报“昆山砍人案”中于海明的行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？看视频↓↓↓ ​ 展开全文c
09月02日 18:26	濮阳生活君	【“骑车男”已出院 就职酒店：出事期间照发工资】O网页链接昆山震川路砍人##昆山震川路砍人#案的电动车主于海明目前已出院。事发前他在昆城一品酒店工作，酒店方称并未收到于海明辞职消息，他的职位还保留着。对于有知情人士称“酒店老板曾放话于海明判几年，工资照发几年”的说法，该经理也 ​ 展开全文c
09月02日 18:26	濮阳微头条	【“骑车男”已出院 就职酒店：出事期间照发工资】#昆山震川路砍人#案的电动车主于海明目前已出院。事发前他在昆城一品酒店工作，酒店方称并未收到于海明辞职消息，他的职位还保留着。对于有知情人士称“酒店老板曾放话于海明判几年，工资照发几年”的说法，该经理也给予了证实。L视频-“白衣反杀哥”于海明已出院 就职酒店：出事期间照发工资 ​ 展开全文c
09月02日 18:26	长沙警事	【权威解释“正当防卫”、“特殊防卫”和“防卫过当” 一听就明白】1日，警方通报“昆山砍人案”中于海明行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？@央视新闻 L央视新闻的微博视频 ​
09月02日 18:25	微拍长春	【#于海明工作的酒店表态#：不会解雇，老板曾说判几年发他几年工资】9月1日，警方通报江苏昆山宝马司机持刀追砍骑车男子案件，为正当防卫。于海明工作酒店的人事经理说，他一人负责前期开业工程筹备，还未判决时老板曾说，判几年就发几年工资。目前，于海明未联系酒店，酒店未解雇他。 ​ 展开全文c
09月02日 18:24	吴堡公安	#知识普及# 【转发分享！关于“正当防卫”、“特殊防卫”和“防卫过当” 这段视频全说明白了！】昨日，警方通报“昆山砍人案”中于海明的行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？看 ​ 展开全文c
09月02日 18:24	中新网海南	【权威解释“正当防卫”、“特殊防卫”和“防卫过当” 一听就明白】1日，警方通报“昆山砍人案”中于海明行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？@央视新闻 O网页链接 ​
09月02日 18:22	阿传有料	检方详解昆山砍人案定责依据，“花臂龙哥”这些作为咎由自取(同步自@新浪看点)O检方详解昆山砍人案定责依据，“花臂龙哥”这些作为咎由自取 ​
09月02日 18:21	苏州微博房产	【“白衣反杀哥”于海明已出院 就职酒店：出事期间照发工资】9月1日，昆山警方与检方相继发布通告，以“白衣夺刀哥”于海明的行为属于正当防卫、不负刑责为由，作出撤销案件决定。于海明目前已经出院。事发前，他在昆城一品酒店工作。酒店方称，并未收到于海明辞职消息，他的职位也还保留着。对于有知 ​ 展开全文c
09月02日 18:20	庞自强i-我的以为只是我以为	今天是昆山龙哥的头七，说实话看到龙哥的见义勇为奖状还真有点缅怀他（这样说不知道会不会被人打）。不过见到奖状我的第一感觉是龙哥举报了敌对社团。嚣张跋扈的龙哥自个挖坑跳进去着实死得太不体面了。。但龙哥注定是要成为教科书式案例的，龙哥的死是中国法律迈向更加人性化的一个里程 ​ 展开全文c
09月02日 18:20	西铁资讯	【权威解释“正当防卫”、“特殊防卫”和“防卫过当” 一听就明白】1日，警方通报“昆山砍人案”中于海明行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？ L央视新闻的微博视频 ​
09月02日 18:19	左江日报	依法撤案！“昆山砍人案”自行车主于海明属于正当防卫！O依法撤案！“昆山砍人案”自行车主于海明属于正当防卫！ ​
09月02日 18:18	丁金坤律师	发表了博文《网络诈捐30万给昆山勇士案|涉嫌伪造印章》近日，昆山于海明的正当防卫案，引来网络热议。有个微博账号@李嘉臣的特别热心，说，了解到于海明家庭困难，已向其哥哥资助30万供孩子看病。”善举“引起O网络诈捐30万给昆山勇士案|涉嫌伪造印章 ​
09月02日 18:18	深圳一点视频资讯	#昆山事件属正当防卫#【酒店人事称于海明还没回来，老板曾说判几年发他几年工资 】9月1日，警方通报江苏昆山宝马司机持刀追砍骑车男子案件，为正当防卫。于海明工作酒店的人事经理说，他一人负责前期开业工程筹备，还未判决时老板曾说，判几年就发几年工资。目前，于海明未联系酒店，酒店未解雇他。 ​ 展开全文c
09月02日 18:18	中国新闻网	【权威解释“正当防卫”、“特殊防卫”和“防卫过当” 一听就明白】1日，警方通报“昆山砍人案”中于海明行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？@央视新闻 L央视新闻的微博视频 ​
09月02日 18:18	泰山晚报	#昆山事件属正当防卫#【于海明亲哥：母亲知道消息后高兴得像换了个人，全村人都盼着他回来】陕西宁强县，于海明的亲哥于海军知道弟弟被判定为正当防卫的消息，他说全家人现在特别高兴，母亲之前整天哭，现在高兴得跟换了个人一样。他给弟弟打电话没打通，特别希望能见他一面，全村人都在盼他回来 ​ 展开全文c
09月02日 18:17	龚国林名人	#昆山事件属正当防卫#昆山警方这个通报写得好，细节清晰，把周边信息也都做了回应，例如龙哥是否涉黑、是否曾见义勇为。特别是对于先生致命一刀所发生的时间、处境的详细介绍，有普法的作用。这个一刀致命于先生，也不是一般人啊。 ​
09月02日 18:16	列宁庄1918	【CamelliaGirl】刚刚美国发生（昆山龙哥）事件 O网页链接 ​
09月02日 18:16	Cccccjf	那些担心昆山大叔被龙哥兄弟报复的，你们想多了，他那些纹身兄弟才不会去为一个死人出头 ​
09月02日 18:16	辽视说天下	【“昆山砍人案”：于海明行为属正当防卫 不负刑事责任】备受社会关注的江苏省昆山市“8·27”于海明致刘海龙死亡案终于有了结果。9月1日下午,昆山市公安局和检察院相继发布通报,认定于海明的行为属于正当防卫,不负刑事责任,昆山市公安局作出撤销案件决定。江苏检察机关对此案进行了以案释法,回应社会关 ​ 展开全文c
09月02日 18:15	启航2018再出发	昆山砍死龙哥事件，当事人以正当防卫的认定结果释放，给我们的启示正如有个朋友写的一样：当新资本家们发现自己赔不起人命的时候，当黑道大哥们发现自己被砍死活该的时候，他们才会真正的尊重生命，尊重人民，尊重社会主义。 ​
09月02日 18:15	大祥公安	【昆山反杀案证人讲述全过程 于海明现身说了这些事】8月27日，发生在江苏昆山的 " 反杀案 " 引起广泛关注，9月1日，昆山市公安局发布通报，骑车男子于海明的行为属于正当防卫，不负刑事责任，公安机关依法撤销于海明案件。今天昆山反杀案两名关键证人讲述了案发全过程！于海明作为舆论争议主角又说了哪 ​ 展开全文c
09月02日 18:14	老鬼时评	发表了博文《昆山“反杀”社会需要一种正义的血性》昆山“反杀”社会需要一种正义的血性老夔9月1日，江苏昆山市公血性安、检察机关通报了“昆山砍人案”调查处理结果，认定于海明的行为属于正当防卫、不负刑事责任O昆山“反杀”社会需要一种正义的血性 ​
09月02日 18:13	法官爱民	【昆山案细节二：骑车男追砍宝马男后拿走其手机，称怕被报复】8月27日，江苏昆山，宝马车主#追砍电动车主遭反杀#。9月1日，警方对该案件调查处理情况予以通报，于海明的行为属于正当防卫，不负刑事责任；其中还提到于海明拿走刘海龙手机，称是为了防止对方召集人员报复。 L一手video的秒拍视频 ​
09月02日 18:12	潍坊市人民检察院	【知情人爆昆山“龙哥”劣迹：放高利贷收保护费大家都怕他】8月27日，昆山，男子被“反杀”事件后。电动车主于海明属于正当防卫，不负刑事责任。司法判决显示，死者刘海龙至少5次被捕。一位知情人透露：“刘海龙就是个小混混，营生主要是赌博、高利贷、保护费之类的，这边的人都很怕他”。 ​ 展开全文c
09月02日 18:11	潍坊市人民检察院	【昆山警方认定于海明属于正当防卫 关键证人讲述案发全过程】9月1日，江苏昆山警方认定于海明的行为属于正当防卫。昆山警方以犯罪事实不成立，撤销于海明涉嫌故意伤害一案。@今日说法 记者分别采访了与刘海龙同车的刘强强和与于海明的同伴小柯（化名），双方讲述了案发全过程。LCCTV今日说法的秒拍视频 ​ 展开全文c
09月02日 18:10	唐山大概齐	【“白衣反杀哥”于海明已出院 就职酒店：出事期间照发工资】9月1日，昆山警方与检方相继发布通告，“反杀案”骑车男子于海明属于正当防卫，不负刑责。于海明目前已经出院。事发前，他在昆城一品酒店工作。酒店方称，并未收到于海明辞职消息，他的职位也还保留着。对于有知情人士称“酒店老板曾放话于 ​ 展开全文c
09月02日 18:10	七台河检察	【昆山反杀案证人讲述全过程 于海明现身说了这些事】8月27日，发生在江苏昆山的 " 反杀案 " 引起广泛关注，9月1日，昆山市公安局发布通报，骑车男子于海明的行为属于正当防卫，不负刑事责任，公安机关依法撤销于海明案件。今天昆山反杀案两名关键证人讲述了案发全过程！于海明作为舆论争议主角又说了哪 ​ 展开全文c
09月02日 18:08	广西公安	【新华时评：法治的胜利】9月1日，江苏昆山市公安、检察机关通报了“昆山砍人案”调查处理结果，认定于海明的行为属于正当防卫、不负刑事责任。应该说，这起社会广泛关注的事件，其判决结果是一场法治的胜利。O新华时评：法治的胜利 ​
09月02日 18:07	双流网	【#于海明工作的酒店表态#：不会解雇，老板曾说判几年发他几年工资】9月1日，警方通报江苏昆山宝马司机持刀追砍骑车男子案件，为正当防卫。于海明工作酒店的人事经理说，他一人负责前期开业工程筹备，还未判决时老板曾说，判几年就发几年工资。目前，于海明未联系酒店，酒店未解雇他。 ​ 展开全文c
09月02日 18:05	Police王	#于海明出院#【“白衣反杀哥”于海明已出院 就职酒店：出事期间照发工资】9月1日，昆山警方与检方相继发布通告，以“白衣夺刀哥”于海明的行为属于正当防卫、不负刑责为由，作出撤销案件决定。于海明目前已经出院。事发前，他在昆城一品酒店工作。酒店方称，并未收到于海明辞职消息，他的职位也还保留 ​ 展开全文c
09月02日 18:04	福建广播电视新闻中心	#追砍电动车主遭反杀#【昆山警方认定于海明属于正当防卫，关键证人讲述案发全过程】央视#今日说法#记者分别采访了与刘海龙同车的刘强强和与于海明同伴的小柯（化名），双方讲述了案发全过程。@公安部打四黑除四害 LCCTV今日说法的秒拍视频 ​​​
09月02日 18:03	用户5398895708	我正在看【昆山龙哥走了, 留给社会一个思考: 如何让老实人不吃亏?】，分享给你，一起看吧！ O网页链接 ​
09月02日 18:02	kilimanjaro999999999	《骑车男将立即释放！关键证人讲述全过程：他追上去后没有砍对方》江苏昆山，宝马车驾驶人刘海龙与自行车车主于海明因交通问题发生冲突。O网页链接 ​
09月02日 18:02	青岛公安	【“昆山砍人案”为何定正当防卫？视频解析检方意见】9月1日下午，警方通报“昆山砍人案”，认定于海明的行为属于正当防卫，不负刑事责任。还原视频，看检方如何给出四大支持意见。L人民网人民电视的秒拍视频 ​​​
09月02日 18:02	微博同城	【“骑车男”已出院 就职酒店：出事期间照发工资】#昆山震川路砍人#案的电动车主于海明目前已出院。事发前他在昆城一品酒店工作，酒店方称并未收到于海明辞职消息，他的职位还保留着。对于有知情人士称“酒店老板曾放话于海明判几年，工资照发几年”的说法，该经理也给予了证实。L视频-“白衣反杀哥”于海明已出院 就职酒店：出事期间照发工资 ​
09月02日 18:00	MM十二月	# 腾讯新闻 # 《谷雨丨昆山“反杀者”于海明被判正当防卫：一个肩膀养三家》O谷雨丨昆山“反杀者”于海明被判正当防卫：一个肩膀养三家 来自@腾讯新闻客户端 ​
09月02日 18:00	北京青年报	【酒店人事称于海明还没回来，老板曾说判几年发他几年工资】9月1日，警方通报江苏昆山宝马司机持刀追砍骑车男子案件为正当防卫。于海明工作酒店的人事经理说，于一人负责前期开业工程筹备，还未判决时老板曾说，判几年就发几年工资。目前，于海明未联系酒店，酒店未解雇他。L一手video的秒拍视频 ​
09月02日 18:00	四川日报	【“白衣反杀哥”于海明已出院 就职酒店：出事期间照发工资】9月1日，昆山警方与检方相继发布通告，以“白衣夺刀哥”于海明的行为属于正当防卫、不负刑责为由，作出撤销案件决定。于海明目前已经出院。事发前，他在昆城一品酒店工作。酒店方称，并未收到于海明辞职消息，他的职位也还保留着。对于有知 ​ 展开全文c
09月02日 18:00	重庆晨报	【转发分享！关于“正当防卫”、“特殊防卫”和“防卫过当” 这段视频全说明白了！】昨日，警方通报“昆山砍人案”中于海明的行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？看视频↓↓↓ ​ 展开全文c
09月02日 18:00	吉林电视台	【转发分享！关于“正当防卫”、“特殊防卫”和“防卫过当” 这段视频全说明白了！】昨日，警方通报“昆山砍人案”中于海明的行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？看视频↓↓↓ ​ 展开全文c
09月02日 18:00	湖州同城会	【转发分享！关于“正当防卫”、“特殊防卫”和“防卫过当” 这段视频全说明白了！】昨日，警方通报“昆山砍人案”中于海明的行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？看视频↓↓↓ ​ 展开全文c
09月02日 20:59	tfl_tfl_11胡杨女人	昆山“龙哥”事件的结果不是人们想要的，但是法律的判定是人们期盼的，任何人都没有权利去肆意践踏别人的尊严！no zuo no die ​
09月02日 20:59	紫光阁	【分享！关于"正当防卫"、"特殊防卫"和"防卫过当"这段视频全说明白了！】昨日，警方通报"昆山砍人案"中于海明行为属于"正当防卫"，不负刑事责任。昆山市检察院副检察长宫为所解释此案属于"正当防卫"中的"特殊防卫"，什么是"特殊防卫"？如何认定"防卫过当"？看视频↓↓ L央视新闻的微博视频 ​
09月02日 20:58	黄瑞军A	【知情人爆昆山“龙哥”劣迹：放高利贷收保护费大家都怕他】8月27日，昆山，男子被“反杀”事件后。电动车主于海明属于正当防卫，不负刑事责任。司法判决显示，死者刘海龙至少5次被捕。一位知情人透露：“刘海龙就是个小混混，营生主要是赌博、高利贷、保护费之类的，这边的人都很怕他”。#反腐倡廉# ​ 展开全文c
09月02日 20:58	无锡日报	【酒店人事称于海明还没回来，老板曾说判几年发他几年工资 】9月1日，警方通报江苏昆山宝马司机持刀追砍骑车男子案件，为正当防卫。于海明工作酒店的人事经理说，他一人负责前期开业工程筹备，还未判决时老板曾说，判几年就发几年工资。目前，于海明未联系酒店，酒店未解雇他L一手video的秒拍视频 ​
09月02日 20:57	丹尼斯999	崔永元我正在看【“已经做好牺牲的准备” 民警黄其焕的生死5小时】，分享给你，一起看吧！ 当全国上下都在关注明星偷漏税、滴滴杀人、昆山龙哥的时候，请别忘了，还有一些人，在拿自己的生命，默默的为社会的安宁付出奉献着！我们更应该为他们点赞 O网页链接 ​ 展开全文c
09月02日 20:56	用户5541326161	9月1日下午5时，昆山公安官方微信发出通告：于海明系正当防卫，警方予以撤案！全文对案发时的细节描述清晰、有理有据，对一周来不断发酵的各种传闻、流言也一一回应！可以说，这篇通告每读完一次都有种痛快淋漓、大快人心之感！转瞬间民意沸腾，人们纷纷把朋友圈留给了于海明，纷纷给昆山警方、昆山检 ​ 展开全文c
09月02日 20:55	影儿麻	【#追砍电动车主遭反杀# 关键证人讲述案发全过程】9月1日，江苏省昆山市公安局副局长张刚接受今日说法采访时表明：电动车主于海明的行为属于正当防卫。昆山警方以犯罪事实不成立，撤销于海明涉嫌故意伤害一案。与刘海龙同车的刘强强和与于海明同伴的小柯，双方讲述了案发全过程。LCCTV今日说法的秒拍视频 ​ 展开全文c
09月02日 20:53	cd261304	《“骑车男”近况曝光：已被解除刑事强制措施 身体状态良好》9月1日，昆山市公安局和检察院相继发布通报，认定于海明的行为属于正当防卫，不负刑事责任。O网页链接 ​
09月02日 20:52	乌兰浩特政法	@937江苏新闻广播:【警方透露于某现状：会好好生活，请大家不再打扰】近日，江苏昆山市震川路于海明致刘海龙死亡案，备受社会舆论关注。今天，昆山市公安局相关人员接受了江苏新闻广播采访。据警方透露，被认定正当防卫的于某不想再被打扰。详情请戳视频 L937江苏新闻广播的秒拍视频 ​​​
09月02日 20:52	用户6582080342	昆山杀人案，终于落下尘埃，龙哥终结者无罪释放，可以说这是一个人心所向，众望所归的结果。以后面对不法侵害，可以该出手时就出手，不要瞻前顾后了 ​
09月02日 20:52	飘浮在哪里	《美国“昆山龙哥”话音刚落就被射杀！警方：完美正当防卫》“昆山龙哥”的事迹传遍天下，引发人们对“正当防卫”的讨论。O网页链接 ​
09月02日 20:51	古鳖	江苏“昆山砍人案”终于尘埃落定，“反杀”刘海龙的于海明被司法机关认定为正当防卫，不负刑事责任。 昆山“正当防卫案”确立法治中国新典范#UC头条# O网页链接 ​
09月02日 20:51	带你游遍三峡	希望能从严执法，让法律人人敬畏。《"昆山反杀案"撤案 唯有法治安民心》9月1日，江苏昆山市公安、检察机关通报了“昆山砍人案”调查处理结果，认定于海明的行为属于正当防卫、不负刑事责任。O网页链接 ​
09月02日 20:48	扫扫扫扫扫扫	【“昆山反杀”细节：案件定性后于海明说3个“感谢”】原标题:焦点 | “昆山反杀案”更多细节还原，案件定性后于海明连说三个“感谢” 9月1日，昆山警方就 （分享自 @凤凰网） O“昆山反杀”细节：案件定性后于海明说3个“感谢” ​
09月02日 20:47	好时小葱	看到一句话,像是为“昆山砍人案”中构成正当防卫的于海明早已写下的诗谶。 ​
09月02日 20:46	糖葫芦好吃很黏牙	昆山卧龙哥，人狠话也多。 八臂纹桀龙，俯仰看天阙。 喝酒开宝马 ，撞了电动车。 酒友先理论，龙哥气很多。 翻身下了马，八字步上磕。 先是推搡搡，嘴上骂咧咧。 白衣骑车主，隐忍且退缩。 龙哥气不过，回马把刀拖。 此乃冷艳锯，三国属二哥。 青龙负偃月，寒光颤凛冽。 一招先拍脸，二招向腿劐。 三四 ​ 展开全文c
09月02日 20:46	V微观天下V	【转发分享！关于“正当防卫”、“特殊防卫”和“防卫过当” 这段视频全说明白了！】昨日，警方通报江苏“昆山砍人案”中于海明的行为属于“正当防卫”，不负刑事责任。昆山市人民检察院副检察长宫为所解释此案属于“正当防卫”中的“特殊防卫”，什么是“特殊防卫”？如何认定“防卫过当”？看视频↓ ​ 展开全文c
