2013年01月05日 00:58	萧阅心	新闻人物：真实袁厉害(图) O网页链接 @搜狐新闻客户端。 望世间多些像袁这样的爱心人士！ ​
2013年02月05日 19:45	疯子马与神经康	罗生门 //分享网易新闻:「袁厉害女婿斥20套房报道不实」O网页链接 @网易新闻客户端 ​
2013年02月05日 19:45	首席坦荡男人	@人物杂志 袁厉害家人作出回应了，谁真谁假，出来说吧。。。。 ​
2013年02月05日 19:45	长江商报	【你愿意相信谁？】近日，有媒体报道称20多年间，袁厉害利用收养弃婴累积的名声经商，单房产已经有20余套。昨天，袁厉害接受广州日报专访表示，自己只有3套房子，还欠下7万元的外债。“我要是有20套房，把我拉去枪毙!同时，她也否认把孩子分成三教九流“我对他们个个都很好”O网页链接 ​
2013年02月05日 19:45	蓝色心人Scott_Li	媒体称袁厉害将收养孩子分等级 至少有20套房 - 搜狐视频 O媒体称袁厉害将收养孩子分等级 至少有20套房 （分享自 @搜狐视频） ​
2013年02月05日 19:44	喻康11	这个袁厉害还真有来头 ​
2013年02月05日 19:44	薇嘉Catherine	媒体称袁厉害将收养孩子分等级 购买或建房20套 O媒体称袁厉害将收养孩子分等级 购买或建房20套 （分享自 @头条新闻） ​
2013年02月05日 19:43	植提专家	凡事都不能只看表面！ 《[博]袁厉害20套房与孩子分级》 (来自 @手机新浪网) O网页链接 ​
2013年02月05日 19:43	名字刻在水里的人	《媒体称袁厉害将收养孩子分级》 (来自 @头条新闻) O媒体称袁厉害将收养孩子分等级 购买或建房20套 ​
2013年02月05日 19:42	喻康11	袁厉害被指将弃婴分等级 至少有20套房：O视频：袁厉害被指将弃婴分等级 至少有20套房 - 河南兰考收养所火灾致7死： O河南兰考孤儿收养所起火致7名儿童身亡 视频集-新闻中心 ​
2013年02月05日 19:42	迷糊笨鸭子	//分享网易新闻:媒体曝袁厉害拥20余套房产 说她是上帝的是媒体，说她是魔鬼的也是媒体，求事实真相O网页链接 ​
2013年02月05日 19:42	oracle川	有几个证据越发证实了其好人好事的真实性。。。这个报道去除倾向性，应该是真实的 //分享网易新闻:「媒体曝袁厉害拥20余套房产」O网页链接 ​
2013年02月05日 19:41	殿下网络互联	媒体称袁厉害将收养孩子分等级 至少有20套房产 O网页链接 (UC浏览器) ​
2013年02月05日 19:41	跳跳羊之西蒙007	难道必须要变成赤贫才可以行善吗?行善者也需要生存!总比某些所谓的人民公仆要强吧?真心的希望我们的媒体能够传播正能量!『视频：袁厉害被指将弃婴分等级 至少有20套房』 O视频：袁厉害被指将弃婴分等级 至少有20套房 @新浪视频 ​
2013年02月05日 19:40	面部精雕陈永	我认为把这些房产和获利作为袁厉害这么多年为那些柔弱可怜的小生命的付出，作为她代替不作为的政府的付出的补偿也丝毫不为过！试想，袁厉害以一个贫困县普通农妇的一己之力收养弃婴几十年如一日，为了照顾弃婴，没空照顾以及的孩子，以致要找乳母代养，这是何等的大爱和坚韧？不要说整天要面对十几个 ​
2013年02月05日 19:37	首席坦荡男人	@人物杂志 头条新闻 //@头条博客: 袁厉害女婿开微博回应。//@袁厉害-的女婿: 袁厉害名下只有1套房子那就是火灾事故点！他2个儿子已婚有2套房子！你们这垃圾杂志是想要干什么？是要让她 死 吗？20多年一场大火烧的家毁人亡，最后你们还放这样的炮？。。。。。 ​
2013年02月05日 19:37	李丨白杨	//分享网易新闻:袁厉害女婿斥20套房报道不实 O网页链接 @网易新闻客户端 ​
2013年02月05日 19:37	黑夜里亮出	媒体称袁厉害将收养孩子分等级 至少有20套房产 O媒体称袁厉害将收养孩子分等级 至少有20套房产_新闻_腾讯网 人之初，性本……？ ​
2013年02月05日 19:36	天凉好个秋9112000	#我有话说#【媒体称袁厉害将收养孩子分等级 购买或建房20套】 O媒体称袁厉害将收养孩子分等级 购买或建房20套 ​
2013年02月05日 19:36	我叫刘近北	#袁厉害# 这种事没法说，爆出来之后媒体社会一顿BB，早天儿嘛去了，这回上干子积极 详情:O查看话题详情 ​
2013年02月05日 19:35	tpcop	这才是一个真正的袁厉害，没有恶意的质疑，也没有市场化媒体或脑残或教条地宣扬。而本地人与外地人之间的观点分歧，更凸显了网络的巨大力量有时候是多么愚蠢。所谓的“网络民意”，又何尝不是一种专制呢？ 公知们，你们说呢？ 《袁厉害被指将孩子分等 拥20余套房》 O袁厉害被指将收养孩子分三六九等 坐拥20余套房-房产频道-和讯网 ​
2013年02月05日 19:35	九精	以前说袁厉害好,现在说袁厉害坏,都是记者们在编,爱怎么编就怎么编吧,呵呵---------- 媒体称袁厉害将收养孩子分等级 购买或建房20套 O媒体称袁厉害将收养孩子分等级 购买或建房20套 （分享自 @头条新闻） ​
2013年02月05日 19:34	北_海北	天啊！ @mark 《[博]袁厉害20套房与孩子分级》 (来自 @手机新浪网) O网页链接 ​
2013年02月05日 19:33	邵勃空间	中国的事情啊，上海话形容得最传神，叫做“拎无清”.... 《[博]袁厉害20套房与孩子分级》 (来自 @手机新浪网) O网页链接 ​
2013年02月05日 19:33	秋天一缕霞	看媒体解构袁厉害，和LN解读WW, 竟有同工之妙。真心佩服这位学者，有上帝般的视角，哲学家的洞见，律师的犀利和法官的公正。她自己也是诗人。谁说文艺批评没有创造性，不能洛阳纸贵啊？我的论文构架也开始动摇。以后还怎么研究哪位作家？怎么教学生以哪种方式读谁的什么？不脱胎换骨敢说读过博吗？ ​
2013年02月05日 19:32	雷sir_leisir	【真相永远深藏在迷雾当中吗？看来《看见》的报道组被深深蒙蔽了？】媒体称袁厉害将收养孩子分等级 购买或建房20套 O媒体称袁厉害将收养孩子分等级 购买或建房20套 ​
2013年02月05日 19:32	zkkzyy	刚才看微信新闻 说袁厉害有20套房产 她都有二十套房产 我还没有呢 她真是有钱嘛 说瞎话 说自己没有存款 说自己家庭困难 屁 你是没存款 有存款你都买房了 你是爱心么？？没有这些孩子 你怎么挣钱 怎么把钱搂到自己腰包…？ 我在:2京福公路 ​
2013年02月05日 19:32	一民2010	不知道这位记者什么目的，好像挖掘出了真相，可是并没有拿出什么违法的证据。不过心态有点阴暗，有点小人之举。鄙视！ 《[博]袁厉害20套房与孩子分级》 (来自 @手机新浪网) O网页链接 ​
2013年02月05日 19:32	出境领队刘铭	袁厉害的事又被挖出来，求求媒体不要把别人捧上天然后又踩进地狱好吗，任何人都接受不了这样的打击。即使她有n套房，即使她把孩子分等级养，但是结果是孩子活了，还有比保住生命更可贵的事吗？狗屎的媒体打着挖掘真想旗号，这是要至人死地呀！这样的记者就是披着外衣的杀人犯 ​
2013年02月05日 19:31	mandymayday	【袁厉害将收养孩子分级】联想起黄怒波被＂捐款承诺＂的事件。大众喜欢偏执地将人贴上＂天使＂与＂恶魔＂标签，好人只能并且必须只能做好事，非＂挺＂即＂打＂走极端。我们需要的是冷静思考问题本身的内核，对人的喜好留着找对象时用就好。 O网页链接 (@掌中新浪 ) ​
2013年02月05日 19:31	OceanMerchant	太可怕了.... //分享网易新闻:「袁厉害让"孬"孩子和垃圾共生」 O网页链接 @网易新闻客户端 ​
2013年02月05日 19:30	正能量sh	分享图片 袁厉害被指收养孩子分等级 拥有多处房产 ​
2013年02月05日 19:30	民生与法制网	【媒体称袁厉害将收养孩子分等级 至少有20套房产】详见O网页链接 ​
2013年02月05日 19:30	陈整天想好事	@-Y-xixi 你上次说的那个袁厉害被曝光了 ​
2013年02月05日 19:30	小仙女喵了个喵	不知道什么是真 什么是假… 《[博]袁厉害20套房与孩子分级》 (来自 @手机新浪网) O网页链接 ​
2013年02月05日 19:29	欢乐兔妞儿	媒体称袁厉害将收养孩子分等级 至少有20套房产 O媒体称袁厉害将收养孩子分等级 至少有20套房产_新闻_腾讯网 ​
2013年02月05日 19:29	响儿他爹	@人物杂志 请公布针对袁厉害的报导的证据，否则只能鄙视这种哗众取宠的卑鄙报导 ​
2013年02月05日 19:27	卓越2481165763	袁厉害女婿称欲起诉《人物》 袁厉害女婿微博截图《人物》杂志微博截图针对4日《人物》杂志微博发布的报道《厉害女士》一文，袁厉害女婿（@袁厉害-的女婿）微博 O网页链接 @搜狐新闻客户端 ​
2013年02月05日 19:27	姑妄谈	《人物》采访一周，慕名来捐款捐物的人一天多有十几拨。袁厉害总会一边亲昵地喊“弟弟”“妹妹”，一边用两只粗大的手紧紧钳住对方：“心意收下，钱你拿走。孩子都没了，我不要钱！”推诿几句后，她收下了一部分。来人走后，她让儿媳妇从她屁股底下把钱摸出来，数数有多少。…《人物》想告诉我们什么？ ​
2013年02月05日 19:26	冷侠游江湖_k9d	诚信体系的崩溃！这个社会到底信谁？能信谁？【媒体称袁厉害将收养孩子分等级 购买或建房20套 网易新闻】核心提示：媒体称，袁厉害对待收养的孩子以残疾程度和相貌将其分为三六九等。“头等”孩子得以享受最好的照顾，而最需要照顾的下等孩子，一度同垃圾、苍蝇、... O媒体称袁厉害将收养孩子分等级 购买或建房20套_网易新闻中心 ​
2013年02月05日 19:24	qisibing	媒体称袁厉害将收养孩子分等级 购买或建房20套 O媒体称袁厉害将收养孩子分等级 购买或建房20套 （分享自 @头条新闻）深藏不露。 ​
2013年02月05日 19:24	村里那些事呀	我参与了@朱坤岭 发起的投票【你怎样看待袁厉害事件？】，我投给了"收养孩子就是功德。"这个选项。你也快来表态吧：O你怎样看待袁厉害事件？ ​
2013年02月05日 19:24	森林中的林	当今的社会，眼下的媒体，真是让人无语，翻来覆去都是你 【袁厉害：我知道很多时候就给人当条狗 可是我想挣钱】原标题：厉害女士她为自己和家人自建或购买过超过20套住宅。但她从没过过一天有钱人的生活，敢挣不敢花，她低声说，“我不敢穿好衣服，怕人家说我”。@mark ​
2013年02月05日 19:23	MI宝儿33	媒体称袁厉害将收养孩子分等级 购买或建房20套 来自河南省兰考县农村的袁厉害女士，近期频繁出现在媒体与公众视野里。导火索是1月4日一场突如其来的火灾，她所收养的7个孩子在自家居住的房子里丧生。袁厉害成名已久，她的成名依赖于24年来她收养了超过100名弃婴。... O媒体称袁厉害将收养孩子分等级 购买或建房20套 ​
2013年02月05日 19:23	圆月刀弯	有人言称《人物》杂志“袁厉害”一文细节来源于兰考贴吧，客观讲，这是臆测别人在臆测；受党宣影响，本国人物要么为高大全，要么为下三滥，《人物》只是描述一个真实、复杂的人；报道真相会让人感到残酷，但还原真相最重要，至于此文会打击国人做慈善积极性，当然会，当然会影响非理性、无信仰群体。 ​
2013年02月05日 19:23	谁的谁的妞	#袁厉害# 好人没好报，在中国就不适合做好人。 ​
2013年02月05日 19:23	张波老师	袁厉害有钱怎么了？袁厉害通过收养孩子敛财怎么了？您不敛财去收养成百个残疾儿童试试。-------关键是袁厉害没有让很多幼小的生命死去！！ ​
2013年02月05日 19:22	wjmcn	媒体称袁厉害将弃婴分3等 至少有20套房产 O媒体称袁厉害将弃婴分3等 至少有20套房产 _西安网 ​
2013年02月05日 19:22	红蓝控1899	《媒体称袁厉害将收养孩子分级》 (来自 @头条新闻) O媒体称袁厉害将收养孩子分等级 购买或建房20套 ​
2013年02月05日 19:22	迷死特逗	真心希望媒体放过袁厉害,她有多少房子不重要,她卖不卖孩子也不重要,她是什么目的收养孩子更不重要,重要的是她让差点饿死的孩子活了下来----请问去探访的各位记者,你忍心去调查一些不重要的事来否定救人的心吗?都是同行,我鄙视你! ​
2013年02月05日 19:20	静心禅香的小屋	《人物》中评论袁厉害：“这个农村妇女缺少教育(小学一年级辍学)，性格急躁、泼辣，有着朴素与善良的动机，另一方面，她精明、警惕、狡猾、心思缜密，自我保护欲望强烈。她熟悉明里暗里的各种规则，甚至是掌控媒体心理的好手，多数时候都能取得采访者信任，达成自身目的，并巧妙隐藏秘密。”是真的吗？ ​
2013年02月05日 19:20	明明的小花爷yu	如果她真那么有钱为什么穿那么破 ?留下那些钱给谁花？真是不知道说什么了，这稿子写的前后矛盾，驴唇不对马嘴！我看是政府官员没办法了，再把事情闹大就都得下台，所以整这么一出！ //【媒体称袁厉害将收养孩子分等级 购买或建房20套】O网页链接 ​
2013年02月05日 19:19	狼心似铁_修	这种人，这种事，太TM的可耻了。【媒体称袁厉害将收养孩子分等级 购买或建房20套 网易新闻】核心提示：媒体称，袁厉害对待收养的孩子以残疾程度和相貌将其分为三六九等。“头等”孩子得以享受最好的照顾，而最需要照顾的下等孩子，一度同垃圾、苍蝇、... O媒体称袁厉害将收养孩子分等级 至少有20套房_网易新闻中心 ​
2013年02月05日 19:19	傳說天意	袁厉害，成也媒体，败也媒体。现在的我们该相信谁？ O网页链接 ​
2013年02月05日 19:19	含泪奔跑的妮儿	袁厉害被指将弃婴分等级 至少有20套房：O视频：袁厉害被指将弃婴分等级 至少有20套房 - 河南兰考收养所火灾致7死： O河南兰考孤儿收养所起火致7名儿童身亡 视频集-新闻中心 我真的想瞎了自己的眼睛.想当初, 我是怎样支持你的,怎样为那些责骂你的人义愤填鹰.神啊,这个世界我们还可以相信什么. ​
2013年02月05日 19:19	lily安时而处顺	除了政F。其他都是可怜虫。 《媒体称袁厉害将收养孩子分级》 (来自 @头条新闻) O媒体称袁厉害将收养孩子分等级 购买或建房20套 ​
2013年02月05日 19:19	songsong的小屋	我参与了@朱坤岭 发起的投票【你怎样看待袁厉害事件？】，我投给了"人无完人，仍值得尊敬。"这个选项。你也快来表态吧：O你怎样看待袁厉害事件？ ​
2013年02月05日 19:18	NICKEL镍	她这20套房不等同房叔房姐房妹的房子，她有200套老百姓也不恨，狗屁记者们发这篇文真是内心阴险啊！ 《[博]袁厉害20套房与孩子分级》 (来自 @手机新浪网) O网页链接 ​
2013年02月05日 19:18	疯少的一些事一些情	其实，我觉得，她，只是个普通的好人。我选择去相信她～ //【媒体称袁厉害将收养孩子分等级 购买或建房20套】O网页链接 (分享自 @今日头条) ​
2013年02月05日 19:17	莫莫苹果	袁厉害是真厉害，她能养活几十口人就是本事，只不过一农妇，不识几个大字，更别提什么修养，自己亲生的儿女多了都会有偏爱，不能要求她如圣人般大公无私不偏不倚地对待每个孩子。 ​
2013年02月05日 19:16	大律师小助理	前段时间收养弃儿的袁厉害以大善人形象进入公众视野，深受媒体舆论赞誉，对她的事迹广泛传播，大部分人都为她被传骗低保而鸣不平，并批评当地政府。而今天又有媒体指出袁厉害收养孩子骗钱，家有房产二十处。如此大的转变让我一时难接受，让我们这些只能通过新闻媒体获取信息的人感觉是云里雾里的。 ​
2013年02月05日 19:16	Lelouch-Zbq	袁厉害呀袁厉害，你真他妈厉害。 ​
2013年02月05日 19:16	正在闻舞	【袁厉害：我知道很多时候就给人当条狗 可是我想挣钱】原标题：厉害女士她为自己和家人自建或购买过超过20套住宅。但她从没过过一天有钱人的生活，敢挣不敢花，她低声说，“我不敢穿好衣服，怕人家说我”。（新闻很单纯，现实很复杂，希望大家能真正了解这个事） O调查指袁厉害将收养孩子分成3等 购买建房超20套_资讯频道_凤凰网 （分享自 @） ​
2013年02月05日 19:15	Y光之翼	袁厉害，真厉害。看了正反两面的报道，我没有资格评论她，多用行动吧。 ​
2013年02月05日 19:15	SplendidCelibacy陆遥遥	刑法各论的一道经典案例题:小明出生在一个多子的山区家庭，生下来就生活困难；李某看到小明很可怜，就把他从家里带了出来卖给了富裕的企业家王某。王某夫妇一直无子，对活泼的小明视若己出。小明从此过上了幸福的生活。问李某是否构成拐卖儿童罪。——对袁厉害我也是标准答案（通说）的立场。 ​
2013年02月05日 19:15	阿卓是只小怪兽	有点不敢相信的感觉………… 《[博]袁厉害20套房与孩子分级》 (来自 @手机新浪网) O网页链接 ​
2013年02月05日 19:15	铃木雄	刚看了《人物》杂志对的袁厉害的长篇报道，想说点什么，又觉得说什么都没用。这篇稿子大家怎么看？ ​
2013年02月05日 19:14	Sean看哪里	【媒体称袁厉害将收养孩子分级】怎么说呢? O网页链接 (@掌中新浪 ) ​
2013年02月05日 19:12	游哉悠哉4621	#袁厉害# 不知道大家这是想要表达什么，处处挖新闻，又怎样呢？这是在给那些有着平凡的爱心人的警告么，小心做好事，要不然你就得接受人家的质疑了……这世道 详情:O查看话题详情 ​
2013年02月05日 19:12	建斌同学	袁厉害有20套房子，还将孩子分等级。在中国人人平等只是个白日梦。这种挂羊头卖狗肉的无耻行为难道不该遭谴责么。这个物欲横流的社会，如果监督制度跟不上时代的脚步，受害只会是百姓。 ​
2013年02月05日 19:12	youngsqlp	//【媒体称袁厉害将收养孩子分等级 购买或建房20套】O网页链接 (分享自 @今日头条) ​
2013年02月05日 19:11	仝松山	媒体称袁厉害将收养孩子分等级 购买或建房20套--图片频道--人民网 O媒体称袁厉害将收养孩子分等级 购买或建房20套--图片频道--人民网 ​
2013年02月05日 19:11	醉是清风	唉！！！ 媒体称袁厉害将收养孩子分等级 购买或建房20套 O媒体称袁厉害将收养孩子分等级 购买或建房20套 （分享自 @头条新闻） ​
2013年02月05日 19:11	枣儿1987	我参与了@中国新闻网 发起的投票【微调查：袁厉害是否应该入刑，你怎么看？】，我投给了"伟大爱心妈妈，没人有资格对其说三到四！"这个选项。你也快来表态吧：O微调查：袁厉害是否应该入刑，你怎么看？ ​
2013年02月05日 19:10	开往地球的UFO	发表了博文 《《人物》2月重点推荐——厉害女士》 - 来自河南省兰考县农村的袁厉害女士，近期频繁出现在媒体与公众视野里。导火索是1月4日一场突如其来的火灾，她所收养的7个孩子在自家居住的房子里丧生。袁 O《人物》2月重点推荐... ​
2013年02月05日 19:10	围脖故障	【#网眼八分斋#弃儿】袁厉害说再也不收养孩子，但看到弃婴不会不理，因为总是一条活命。孩子被遗弃时，父母为何不给他们活命？冻死垃圾箱时，政府可曾想过他们的活命？被砍杀时，学校可保护过他们的活命？慈善疯狂募捐时，可曾为他们的活命做过什么？袁厉害很艰难，弃儿注定凄惨！ O网眼传媒_网眼八分斋_弃儿 ​
2013年02月05日 19:09	赛龙zhouying	《[博]袁厉害20套房与孩子分级》 (来自 @手机新浪网) O网页链接 ​
2013年02月05日 19:08	已被盗嘻嘻嘻嘻凤	袁厉害真相要被挖出来的 ​
2013年02月05日 19:08	德行天下65	【媒体称袁厉害将收养孩子分等级 至少有20套房产】袁厉害因收养过上百名弃婴被称为“中国式好人”、“爱心妈妈”。但人物杂志 调查称，袁厉害的孩子以残疾程度和相貌被分为几等，下等孩子一度同垃圾、苍蝇、大小便挤在一起艰难求生。此外，袁厉害为自己和家人在兰考自建或购买多处房产，保守估算超20套 ​
2013年02月05日 19:08	老知青anan	#袁厉害#真正的好人不多了，不敢信。 我点评了http://t.cn/zY5Vu16 我在:2北环路 ​
2013年02月05日 19:06	井绅	你这踏马德什么破媒体，怎么不去报道报道河南的豆腐渣还有房姐！次奥、追着袁厉害不放！还踏吗是不是人了！次奥。。。 // #我在看新闻# 《媒体称袁厉害至少有20套房产》 将孩子以残疾程度分为几等；为维持好人形象敢挣不敢花。 O腾讯新闻 ​
2013年02月05日 19:05	三面蒋晓涛	转 // #我在看新闻# 《媒体称袁厉害至少有20套房产》 将孩子以残疾程度分为几等；为维持好人形象敢挣不敢花。 O腾讯新闻 ​
2013年02月05日 19:05	AC一派胡言侯东渐	【媒体调查指袁厉害房产超20套 O网页链接 】(分享自ZAKER安卓手机版) ​
2013年02月05日 19:04	WILLIAM-800	袁厉害真的很厉害了。 ​
2013年02月05日 19:04	白白的黑黑Blanche	#袁厉害# 虽然不清楚事情究竟是怎样的，但好人做的种种善事换来的竟是种种诬蔑么？ 详情:O查看话题详情 ​
2013年02月05日 19:03	庞观者明	一个曾将100多个流浪儿视若己出的大善人，竟然是乔装潜伏在慈善圣坛上的“房姐”？对袁厉害，怎能潦草地以“善恶”二字圈定？那个完美的袁厉害，更多是想象出来的。无论是“感动中国”的袁厉害，还是追逐利益的袁厉害，都是真实的袁厉害。如今只能说袁厉害走下神坛，终于显得像一个平凡而复杂的人。 ​
2013年02月05日 19:02	戴鹏1987	我参与了@中国新闻网 发起的投票【微调查：袁厉害是否应该入刑，你怎么看？】，我投给了"火灾事故当问责政府失职，跟袁厉害无关"等2个选项。你也快来表态吧：O微调查：袁厉害是否应该入刑，你怎么看？ ​
2013年02月05日 19:02	Yoo王木木	不久前看到的报道是大力赞赏，如今又是这般，都不知道说什么好了 《[博]袁厉害20套房与孩子分级》 (来自 @手机新浪网) O网页链接 ​
2013年02月05日 19:01	陇东刀客	袁厉害啊袁厉害！，看来她还真不是个一般的人啊！真是个不起眼的厉害人啊！ @mark 《[博]袁厉害20套房与孩子分级》 (来自 @手机新浪网) O网页链接 ​
2013年02月05日 19:01	李永建律师	袁厉害真厉害，孩子多房子也多，这到底是个怎样人！　 ​
2013年02月05日 19:00	张三	【媒体称袁厉害将收养孩子分等级 购买或建房20套 网易新闻】核心提示：媒体称，袁厉害对待收养的孩子以残疾程度和相貌将其分为三六九等。“头等”孩子得以享受最好的照顾，而最需要照顾的下等孩子，一度同垃圾、苍蝇、... O媒体称袁厉害将收养孩子分等级 购买或建房20套_网易新闻中心 ​
2013年02月05日 19:00	我是女汉	媒体称袁厉害将收养孩子分等级 至少有20套房产 O媒体称袁厉害将收养孩子分等级 至少有20套房产_新闻_腾讯网 ​
2013年02月05日 19:00	深蓝xf	我参与了@朱坤岭 的投票【你怎样看待袁厉害事件？】，我投给了“被骗了，袁厉害太厉害。”，你也快来表态吧！O你怎样看待袁厉害事件？ ​
2013年02月05日 21:59	梁瑞颖	袁厉害真是个谜一样的女人，先是一个感动中国的版本，后是媒体关于其收养分三六九等的版本，再是其子起诉媒体报道不实的版本。众眼迷糊，皆因近来雾霾太大。。。 ​
2013年02月05日 21:58	明媚的生活	我奇怪为什么媒体会这么关注袁厉害，而不是中国的收养福利制度？柿子要捏软的么？袁有她的局限性，也有中国普通老百姓的精明，我也很不赞成那种集体收养形式，对孩子的心理很不利，但她毕竟养活了那么多孩子。没必要神化，也不能妖魔化。政府须规范健全收养制度，真正尽到一个收了我们税金的政府责任！ ​
2013年02月05日 21:58	王小婉waner	真是一“人物” 《[博]袁厉害20套房与孩子分级》 (来自 @手机新浪网) O网页链接 ​
2013年02月05日 21:58	小强不上网了	袁厉害是个带有传统农村社会特点的村妇，她既有收养孩子时那种本能的善良，也有为自己谋生活的狡猾。所以她对喜欢的孩子有偏爱，就像很多人对亲生孩子一样。无论是之前那种天使式报道还是@人物杂志 把她写成“奸恶”之人都有失偏颇，袁一向如此，从没变过：她有那种粗糙的善良，但她也是个狡猾的小人物 ​
2013年02月05日 21:57	爱睿儿2011	真相姗姗来迟！ 袁厉害被指将收养孩子分等级 至少有20套房产 - [南都网]报道指她将孩子以残疾程度和相貌分为几等，下等孩子同垃圾、大小便挤在一起。她自建或购买超20套住宅，为维持好人形象不敢花钱。 O袁厉害被指将收养孩子分等级 至少有20套房产_社会_南都网 ​
2013年02月05日 21:57	曦尔基	又看到对#袁厉害#的负面新闻，才看了柴静看见关于她的节目，我无法对其树立任何负面印象。即使她真如媒体所说因为些被遗弃的孩子有很多房子，那也是应得的，哪个慈善家哪个富豪可以做到二十年多年亲力亲为抚养这些被自己亲身父母遗弃的孩子，即使孩子们都有不同程度的病症，她也未曾放弃。 @CCTV看见 ​
2013年02月05日 21:56	我是杨小紫	越来越多的爆料冲击着我们的神经，这一切不仅使我们的道德底线被质疑，也让人疑惑，活着到底为了什么？ 《媒体称袁厉害将收养孩子分级》 (来自 @头条新闻) O媒体称袁厉害将收养孩子分等级 购买或建房20套 ​
2013年02月05日 21:55	感恩的心岁月	袁厉害女婿称欲起诉《人物》 袁厉害女婿微博截图《人物》杂志微博截图针对4日《人物》杂志微博发布的报道《厉害女士》一文，袁厉害女婿（@袁厉害-的女婿）微博 O网页链接 @搜狐新闻客户端 ​
2013年02月05日 21:54	寒秋孤影2018-	今天看的手机新闻说袁厉害有20多套房产，据说在当地有多项业务。孩子还分等级，期待真相。 ​
2013年02月05日 21:54	陈笠翁	袁厉害女婿反击《人物》杂志：报道不实 欲提起诉讼（图）_国际商报网 www.shangbao.net.cn O袁厉害女婿反击《人物》杂志：报道不实 欲提起诉讼（图）_国际商报网 www.shangbao.net.cn ​
2013年02月05日 21:54	壹淰之間	【信海光:我究竟还能相信什么?】据《人物》杂志一篇文章报道，因24年来收养超过100名弃婴而成名的袁厉害，其高尚无私的面具被戳破……《人物》杂志称，袁厉害收养了一百多个弃婴，又将他们按优劣分级，“头等... --@老蛇看天下 的微刊《思想测量者（Ideology）》 O信海光:我究竟还能相信什么? ​
2013年02月05日 21:54	K-MIC-天成	crazy 《媒体称袁厉害将收养孩子分级》 (来自 @头条新闻) O媒体称袁厉害将收养孩子分等级 购买或建房20套 ​
2013年02月05日 21:53	5索5	继续关注动态【 袁厉害女婿斥20套房报道不实 O网页链接 】(分享自 ZAKER) ​
2013年02月05日 21:53	叫刘邦相羽还是张良呢	#袁厉害# 又见袁厉害的报道，孰是孰非亦难分清，不过人性不是非黑即白的属性，有过感动就是进步，正如电影《搜索》里面描述的，媒体应有秉持公心，以免再见悲剧。 ​
2013年02月05日 21:53	吴彦军	我毫不怀疑兰考第二袁厉害女士初始收养孤儿所闪现出的人性之光，然而，在破败不堪的基层社会管理秩序下，在金钱为唯一杆杆的价值评定体系下，不基于宗教信仰和人道主义的善，很容易沦落为工具理性式的实用和功利主义，善为表面，个体私欲才是一切。媒体和善良的人们都是帮凶，混沌世界已无是非与对错。 ​
2013年02月05日 21:53	成都尘心	媒体.能放过袁厉害一马么?不是谁都有勇气收留上百名弃婴.况且她这么多年勤俭节约.生活都是围绕孩子.不要去批判她漠视那些先天性残疾的儿童.没有袁的收养.他们连活着的权利可能都被剥夺了. ​
2013年02月05日 21:52	GD大头	这种媒体，就是狗，不用给钱都能替灵道咬人 //分享网易新闻:「袁厉害女婿斥20套房报道不实」 O网页链接 @网易新闻客户端 ​
2013年02月05日 21:51	吐一脸	#袁厉害#袁厉害有再多的房产，也不是靠收养孤儿赚来的钱。很多非议似乎表明，富人做好事不如穷人做好事值得赞颂，这是完全不对的。助人为乐这种事，做是勤奋，不做是本分，自古如此。袁厉害背后可能有很多故事，但是，费心费力收养了这么多孤儿，总是值得赞颂的。我说的对吗？@智行基金会杜聪 ​
2013年02月05日 21:51	水若白	#袁厉害# 孰真孰假，静候下文~~ 详情:O查看话题详情 ​
2013年02月05日 21:51	吴玲华ly	我一直都不相信袁厉害有20套房屋，收留弃婴是为了敛财，写此报道的记者真是祸害，你怎么不列出详细房产信息让大家看个明白？记者怎么可以这样无耻。 ​
2013年02月05日 21:51	柔以时升杨	最近关于袁厉害的争论太多了，我不明白，兰考大火，带来最多的为什么不是对收养制度的反思，对政府缺位的反省，反而是对一个苦苦挣扎的老百姓的诘问？而可以想见的是，很快连对个人的褒奖与漫骂都会被下一个热点覆盖，什么也不留下。除了，下次遇到被抛弃的婴儿，厉害女士们＂再不敢＂了。 ​
2013年02月05日 21:49	road2you	袁厉害是这样的啊 O网页链接 ​
2013年02月05日 21:49	最聪明的帅帅	媒体良心何在？ 我们常常被坏人的一点“善行”而“感动”，却不敢面对一个好人的善心善为。什么社会！ 《媒体称袁厉害将收养孩子分级》 (来自 @头条新闻) O媒体称袁厉害将收养孩子分等级 购买或建房20套 ​
2013年02月05日 21:48	来来_郑	这些狗屁新闻记者还能编得再神奇点吗!妈的，给你钱让你去收养你干不，简直不是人! 《[博]袁厉害20套房与孩子分级》 (来自 @手机新浪网) O网页链接 ​
2013年02月05日 21:48	时光流去	《媒体称袁厉害将收养孩子分级》 (来自 @头条新闻) O媒体称袁厉害将收养孩子分等级 购买或建房20套 ​
2013年02月05日 21:47	风沙红叶7357	政治不想管花小钱让甩大包伏坏的部完善的救济制度让好心人犯错。反对让民众的测 隐之心被政府以崇高道德名义绑架，政府干什么的？企业上税有着大笔的资源就应取之于民用之于民。袁历害只是哥不自量力的善良之人被兰考 @mark 《媒体称袁厉害将收养孩子分级》 (来自 @头条新闻) O媒体称袁厉害将收养孩子分等级 购买或建房20套 ​
